,Ticker,Nazwa2,rok,ta,txt,pi,str,xrd,ni,ppent,intant,dlc,dltt,capex,revenue,cce,adv,etr,diff,roa,lev,intan,rd,ppe,sale,cash_holdings,adv_expenditure,capex2,cfc,dta,capex2_scaled,y_v2x_polyarchy,y_e_p_polity,y_BR_Democracy,WB_GDPgrowth,WB_GDPpc,WB_Inflation,rr_per_country,rr_per_sector,sektor_consumer discretionary,sektor_consumer staples,sektor_energy,sektor_health care,sektor_industrials,sektor_materials,sektor_real estate,sektor_technology,sektor_utilities,gielda_2,gielda_3,gielda_4,gielda_5,ta_log,"txt_cat_(-63.011, -34.811]","txt_cat_(-34.811, 0.488]","txt_cat_(0.488, 24.415]","txt_cat_(24.415, 25.05]","txt_cat_(25.05, 308.55]","txt_cat_(308.55, 327.531]","txt_cat_(327.531, inf]","pi_cat_(-8975.0, -1.523]","pi_cat_(-1.523, 157.119]","pi_cat_(157.119, 465.9]","pi_cat_(465.9, 7875.5]","pi_cat_(7875.5, 8108.5]","pi_cat_(8108.5, inf]","str_cat_(0.0875, 0.192]","str_cat_(0.192, 0.28]","str_cat_(0.28, inf]",xrd_exists,ni_profit,ni_profit_20000,ppent_sqrt,intant_sqrt,"dlc_cat_(42.262, 176.129]","dlc_cat_(176.129, 200.9]","dlc_cat_(200.9, inf]","dltt_cat_(39.38, 327.85]","dltt_cat_(327.85, 876.617]","dltt_cat_(876.617, inf]","capex_cat_(7.447, 79.55]","capex_cat_(79.55, 5451.0]","capex_cat_(5451.0, inf]","revenue_cat_(0.174, 1248.817]","revenue_cat_(1248.817, 4233.587]","revenue_cat_(4233.587, inf]","cce_cat_(5.619, 63.321]","cce_cat_(63.321, inf]","adv_cat_(0.3, 874.5]","adv_cat_(874.5, inf]",diff_positive,roa_clip,lev_sqrt,intan_pow2,rd_sqrt,ppe_clip,cash_holdings_sqrt,adv_expenditure_positive,diff_dta,cfc_dta,etr_y_past,etr_y_ma,diff_ma,roa_ma,lev_ma,intan_ma,ppe_ma,sale_ma,cash_holdings_ma,roa_past,lev_past,intan_past,ppe_past,sale_past,cash_holdings_past
0,11B PW Equity,11 bit studios SA,2005,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.1961933670046733,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.0,0.01307648942796,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.0074689778526618,0.877,10,1,3.493667637,8021.003655,2.183798724,0.3348681472371475,0.0300102316984618,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050580861102547,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5256186915596276,2.048389602438683,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.2408175568843204,0.0,0.03944113295570105,0.0,0.01307648942796,0.7581189117773202,0,-0.0,0,0.1961933670046733,0.1961933670046733,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282
1,11B PW Equity,11 bit studios SA,2006,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.1961933670046733,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.0,0.01307648942796,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.0074689778526618,0.884,10,1,6.179641346,9038.730847,1.284693944,0.4213960255340266,0.1361943138213075,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050580861102547,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5256186915596276,2.048389602438683,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.2408175568843204,0.0,0.03944113295570105,0.0,0.01307648942796,0.7581189117773202,0,-0.0,0,0.1961933670046733,0.1961933670046733,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282
2,11B PW Equity,11 bit studios SA,2007,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.1961933670046733,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.0,0.01307648942796,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.0074689778526618,0.887,10,1,7.034828301,11255.4367,2.458743124,0.104220159456467,0.0354929021247786,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050580861102547,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5256186915596276,2.048389602438683,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.2408175568843204,0.0,0.03944113295570105,0.0,0.01307648942796,0.7581189117773202,0,-0.0,0,0.1961933670046733,0.1961933670046733,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282
3,11B PW Equity,11 bit studios SA,2008,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.1961933670046733,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.0,0.01307648942796,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.0074689778526618,0.869,10,1,4.249608503,14001.44688,4.164971935,-0.5111781338360037,-0.3846945101057923,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050580861102547,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5256186915596276,2.048389602438683,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.2408175568843204,0.0,0.03944113295570105,0.0,0.01307648942796,0.7581189117773202,0,-0.0,0,0.1961933670046733,0.1961933670046733,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282
4,11B PW Equity,11 bit studios SA,2009,21.12761306762695,1.241850018501282,6.329724788665771,0.1899999976158142,0.0,5.087900161743164,0.2762750089168549,4.195899963378906,0.0,0.0,2.22341251373291,11.87330055236816,12.14297485351562,0.0,0.188487182282044,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.0,0.01307648942796,0.4459543854350955,0.5747442843944282,0.0,8.047823516321186,0,0,0.0074689778526618,0.878,10,1,2.820259759,11527.59323,3.795392425,0.4297156015131687,0.2348973964274243,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050580861102547,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5256186915596276,2.048389602438683,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.2408175568843204,0.0,0.03944113295570105,0.0,0.01307648942796,0.7581189117773202,0,-0.0,0,0.1961933670046733,0.1961933670046733,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282
5,11B PW Equity,11 bit studios SA,2010,1.352399945259094,-0.0537000000476837,-0.2849000096321106,0.1899999976158142,0.0,-0.2311999946832657,0.002199999988079,4.195899963378906,0.0,0.0,0.062899999320507,0.0010000000474974,0.7318000197410583,0.0,0.1844678521112963,0.0015128153337702,-0.1709553416456048,0.0,1.0,0.0,0.0016267377086129,0.0007391530293967,0.5411121335122943,0.0,28.590908936971477,0,0,0.0265344866478043,0.888,10,1,3.606928261,12599.53358,2.580693703,0.1826325265650799,0.12635236798739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3018807513747327,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.046904157471156005,2.048389602438683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.1709553416456048,0.0,1.0,0.0,0.0016267377086129,0.7356032446314347,0,0.0,0,0.188487182282044,0.19234027464335865,-0.0061933693888591,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282,0.2408175568843204,0.0,0.198597917803035,0.01307648942796,0.4459543854350955,0.5747442843944282
6,11B PW Equity,11 bit studios SA,2011,2.986200094223022,0.2924000024795532,1.585100054740906,0.1899999976158142,0.0,1.292799949645996,0.002199999988079,0.0537000000476837,0.0,0.0,0.1086999997496605,2.365999937057495,1.299399971961975,0.0,0.2019584601243851,0.0055321455045178,0.4329247568329372,0.0,0.0179827199629286,0.0,0.0007367222284719,0.5835059895166681,0.4351349310033644,0.0,49.40909106302853,0,0,0.0458553056141822,0.892,10,1,5.0172352,13893.50926,4.239401496,-0.2109940330482493,-1.5903054976846592e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.094001707663243,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.046904157471156005,0.23173260462801454,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.4329247568329372,0.0,0.0003233782172651108,0.0,0.0007367222284719,0.6596475809122356,0,0.0,0,0.1844678521112963,0.18647751719667016,-0.00234027702754445,0.034931107619357804,0.0,0.5992989589015175,0.00735161356828645,0.2233467692322461,0.5579282089533613,-0.1709553416456048,0.0,1.0,0.0016267377086129,0.0007391530293967,0.5411121335122943
7,11B PW Equity,11 bit studios SA,2012,7.33650016784668,0.3402999937534332,1.684999942779541,0.1899999976158142,0.0,1.34469997882843,0.0071999998763203,0.0298999994993209,0.0,0.0,0.1289999932050705,3.34660005569458,3.46589994430542,0.0,0.2148252065788529,-0.0119584625085709,0.1832890272015232,0.0,0.0040755126852395,0.0,0.0009813943585628,0.3758011619674861,0.4724187098768497,0.0,17.916666030694063,0,0,0.0166279965639658,0.922,10,1,1.607906645,13145.53926,3.560371517,0.2583451826473545,0.1329218499277125,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9928619125436886,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.08485281301359608,0.17291616321015482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1832890272015232,0.0,1.6609803647548075e-05,0.0,0.0009813943585628,0.6873272218360406,0,-0.0,0,0.2019584601243851,0.19321315611784068,0.0035224804191440005,0.1309847075936662,0.0,0.5089913599814643,0.0011817299685424,0.2921225712730324,0.48812353225782934,0.4329247568329372,0.0,0.0179827199629286,0.0007367222284719,0.5835059895166681,0.4351349310033644
8,11B PW Equity,11 bit studios SA,2013,8.712699890136719,0.2759000062942505,1.284299969673157,0.1899999976158142,0.0,1.008399963378906,0.0631999969482421,0.4666999876499176,0.0,0.0,0.6887000203132629,4.304699897766113,3.740999937057495,0.0,0.1917439027962746,-0.0248252089630387,0.1157390907634123,0.0,0.0535654841248748,0.0,0.0072537787075379,0.4015051890281835,0.4293732120042977,0.0,10.897152746340728,0,0,0.0101133669686505,0.872,10,1,1.391892321,13781.06261,0.991982606,0.0692768509487377,0.2960124527587487,0,0,0,0,0,0,0,0,0,0,0,0,0,2.164781718737285,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.25139609572991006,0.6831544390911308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1157390907634123,0.0,0.0028692610895322142,0.0,0.0072537787075379,0.6552657567768193,0,-0.0,0,0.2148252065788529,0.20839183335161898,-0.0032131585020265495,0.3081068920172302,0.0,0.01102911632408405,0.00085905829351735,0.4796535757420771,0.45377682044010703,0.1832890272015232,0.0,0.0040755126852395,0.0009813943585628,0.3758011619674861,0.4724187098768497
9,11B PW Equity,11 bit studios SA,2014,21.51589965820312,2.190999984741211,11.4266996383667,0.1899999976158142,0.0,9.235699653625488,0.1036000028252602,1.444200038909912,0.0,0.0,1.126399993896484,15.59589958190918,7.644000053405762,0.0,0.2121755023740679,-0.0017439051804604,0.4292499872346401,0.0,0.067122456502036,0.0,0.0048150439661379,0.5451427770564286,0.3552721557005133,0.0,10.872586517167932,0,0,0.0100905676836956,0.886,10,1,3.318447537,14347.91458,0.053821313,-0.0049223520923576,0.1154150368933723,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06879218081038,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.32186954317744976,1.2017487420047137,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.4292499872346401,0.0,0.004505424166867714,0.0,0.0048150439661379,0.5960471086252439,0,-0.0,0,0.1917439027962746,0.20328455468756373,-0.0183918357358048,0.14951405898246775,0.0,0.02882049840505715,0.00411758653305035,0.3886531754978348,0.4508959609405737,0.1157390907634123,0.0,0.0535654841248748,0.0072537787075379,0.4015051890281835,0.4293732120042977
